data,result,diff
8.5,5.082217031216828,3.417782968783172
5.0,5.80796540975599,-0.8079654097559903
11.9,13.861815238848571,-1.9618152388485708
27.9,20.56389259416342,7.336107405836579
17.2,13.882009196569946,3.317990803430053
27.5,17.392900350348928,10.107099649651072
15.0,21.78918022779922,-6.789180227799221
17.2,18.578036175144284,-1.3780361751442847
17.9,15.495437639534998,2.4045623604650004
16.3,14.759328233916786,1.5406717660832143
7.0,11.05841309117708,-4.05841309117708
7.2,13.219592848064046,-6.019592848064046
7.5,15.594535591509796,-8.094535591509796
10.4,10.761282327443986,-0.3612823274439858
8.8,15.27118438030573,-6.471184380305729
8.4,16.27129201247083,-7.87129201247083
16.7,15.980309718893459,0.7196902811065407
14.2,16.43476907182911,-2.2347690718291098
20.8,20.464639117487405,0.335360882512596
13.4,18.476656217064498,-5.076656217064498
11.7,22.245858646388136,-10.545858646388137
8.3,15.30237217880958,-7.00237217880958
10.2,23.159467641150027,-12.959467641150027
10.9,18.85621330317877,-7.956213303178769
11.0,16.753370699705165,-5.753370699705165
9.5,15.137899380900922,-5.637899380900922
14.5,21.12163016474311,-6.6216301647431095
14.1,19.697322507048277,-5.597322507048277
16.1,25.90239117061735,-9.802391170617348
14.3,19.529108879875835,-5.2291088798758345
11.7,18.525774803297114,-6.825774803297115
13.4,13.104263641528998,0.295736358471002
9.6,17.51251334332946,-7.91251334332946
8.7,13.693299964866469,-4.99329996486647
8.4,10.651058376784487,-2.2510583767844867
12.8,9.77320263012518,3.0267973698748207
10.5,7.4227524498517,3.0772475501483
17.1,11.156785441310458,5.943214558689544
18.4,14.345080052141423,4.054919947858576
15.4,11.565196674829895,3.834803325170105
10.8,9.676619469419737,1.1233805305802633
11.8,14.411871443655482,-2.611871443655481
14.9,14.08208200106628,0.8179179989337211
12.6,13.54632113383687,-0.9463211338368698
14.1,12.867178686881491,1.2328213131185084
13.0,13.317037510221272,-0.31703751022127236
13.4,19.958683443538483,-6.558683443538483
15.2,14.485639194375239,0.7143608056247608
16.1,14.83459368993552,1.2654063100644812
17.8,15.04767782637758,2.752322173622421
14.9,18.65773229086607,-3.757732290866068
14.1,19.06876517661803,-4.96876517661803
12.7,18.754793989453937,-6.0547939894539375
13.5,19.841736767563468,-6.341736767563468
14.9,16.808249960059165,-1.9082499600591643
20.0,16.837508178397186,3.1624918216028135
16.4,17.45493230990623,-1.0549323099062313
17.7,17.52048969004234,0.17951030995766004
19.5,17.60947490233739,1.8905250976626107
20.2,21.121756188253002,-0.9217561882530028
21.4,20.618896109985204,0.7811038900147942
19.9,22.701334394245308,-2.801334394245309
19.0,20.841068030984673,-1.8410680309846725
19.1,16.708416514609105,2.391583485390896
19.1,17.153277487633716,1.9467225123662857
20.1,20.769068401646958,-0.6690684016469568
19.9,19.98967605068572,-0.08967605068572126
19.6,24.104628101484842,-4.50462810148484
23.2,22.22785179128251,0.9721482087174884
29.8,24.709753688388698,5.090246311611303
13.8,18.44780906183443,-4.64780906183443
13.3,14.854465427058056,-1.5544654270580551
16.7,16.76693554168173,-0.06693554168172966
12.0,12.309338428236543,-0.30933842823654345
14.6,16.177596948194683,-1.5775969481946834
21.4,19.686754480924535,1.713245519075464
23.0,26.079053754360377,-3.079053754360377
23.7,28.75324998375304,-5.053249983753041
25.0,29.594764197363865,-4.594764197363865
21.8,27.104910579943446,-5.304910579943446
20.6,24.7382018425221,-4.138201842522097
21.2,26.08977064528901,-4.889770645289012
19.1,20.70270286052368,-1.602702860523678
20.6,25.05489971814212,-4.454899718142119
15.2,19.266530343511967,-4.0665303435119675
7.0,17.513507837822957,-10.513507837822957
8.1,16.88516814652234,-8.78516814652234
13.6,19.450208812540694,-5.850208812540695
20.1,21.81185080354847,-1.7118508035484687
21.8,20.454998207023372,1.3450017929766283
24.5,22.326950375502687,2.173049624497313
23.1,21.719688704741035,1.3803112952589665
19.7,16.615121196273225,3.084878803726774
18.3,18.502333868300703,-0.20233386830070188
21.2,20.790880510227325,0.4091194897726744
17.5,17.915676956014778,-0.41567695601477794
16.8,19.163077171917145,-2.363077171917144
22.4,23.767644712898147,-1.367644712898148
20.6,20.845508792941384,-0.24550879294138284
23.9,25.9052778517272,-2.0052778517272003
22.0,24.32014516458271,-2.3201451645827085
11.9,20.138519740605027,-8.238519740605026
